transcript_id,guest_name,gender,passage_id,passage,passage_words
IFF-001,Cindy Greenglass,Female,IFF-001#P1,"I used to back before I was in the current commercial world, I worked for the US Foreign Commercial Service, which is a branch of the government that helps businesses to find partners in export and import business. And I got to work on some of the largest databases available globally. And there was so much data that came in. And what they did is they put me on a team that said, here, go out to companies all around the world and get them to use this data.",89
IFF-001,Cindy Greenglass,Female,IFF-001#P2,"And what I realized is that it was meaningless to have all this bits and bytes and data without any relevance and meaning. And what they really needed was somebody to help them figure out how to use it. Tell them what it means because without the context, the data was absolutely",52
IFF-001,Cindy Greenglass,Female,IFF-001#P3,"I subsequently went on after understanding how important this was to working for my very first client was Hyatt hotels. And they wanted to build a database of people who were guests at all their properties all around the world. Well, the data existed every time you checked into a hotel, you create what's called a guest portfolio or a guest stay. But all that data doesn't mean anything unless you make context out of it.",76
IFF-001,Cindy Greenglass,Female,IFF-001#P4,"the beauty of it, my eyes got open big to say, think about the power. If you could unlock the raw data and turn it into a story that communications people can use, marketers can use and businesses can use. to be successful.",43
IFF-001,Cindy Greenglass,Female,IFF-001#P5,"I worked with US foreign commercial service. Then I worked at the US, the Canadian consulate. And then I worked on US Canada trade relations. So I had access to a lot of data. And in those days, we were using it to do things like NAFTA, the North American Free Trade Agreement back in the 80s.",57
IFF-001,Cindy Greenglass,Female,IFF-001#P6,"I would argue today that as communicators, marketers, communicators in the field, in the profession, we are well behind what the technology can do for us. Well, well, well behind. We still do not understand how to contextualize most of the data we have available to us. Technology has taken us way beyond what we use and way beyond what we can seem to make sense of. And that's our big opportunity.",72
IFF-001,Cindy Greenglass,Female,IFF-001#P7,"Back when they first came up with QR codes, brilliant QR codes, we as marketers jumped all over it because it was a massive shift from print to digital. from analog to digital, the ability to have somebody use their mobile device to communicate with us, it was huge, okay? But what we didn't do was understand what that, like we didn't think the whole thing through. So what happened? We didn't do responsive design on any of our websites. We sent people from QR codes to crappy landing pages and we made a really lousy customer experience, right?",99
IFF-001,Cindy Greenglass,Female,IFF-001#P8,"I worked with a very well-known and very large global cruise line company. And they were, they built this, this data set, this very large data set of everybody who had cruised with them. All of the people had inquired about a cruise. all the people who had signed up for their information and downloaded brochures, all the people would ask questions, and then all the people who cruised with them and the",73
IFF-001,Cindy Greenglass,Female,IFF-001#P9,"you have to identify when you're building your story. And I say you have to socialize your data, just like you social, right? You go around the water cooler, the virtual water cooler to socialize your data and get buy-in. And who are the people you got to get buy-in from? And I say there's really four types of people you have to find to socialize your data.",68
IFF-001,Cindy Greenglass,Female,IFF-001#P10,"You got to find doubting Thomas, the person who's going to tear down your data and say it's not right. Okay. And you've got to run it by and tell the story to them and have them poke all the holes in the world in it. You want them to poke holes in it because you don't want them to deep six you at the moment you're presenting it in a powerful way.",73
