observing,experimenting,evaluating,repertory_source,identity_trajectory,sequence_observed,confidence_observing,confidence_experimenting,confidence_evaluating,confidence_trajectory,negative_evidence,falsifying_evidence,rival_explanation,evidence_quotes,memo,transcript_id,framework,framework_name,guest_name,gender,n_passages_seen
insufficient_evidence,insufficient_evidence,insufficient_evidence,prior_professional,no_arc,"no sequence evident - passages describe business development and problem-solving, not identity experimentation",0.2,0.2,0.2,0.3,"All three tasks (observing, experimenting, evaluating) show no clear evidence. The speaker describes discovering market needs and building solutions, not trying on provisional selves or adapting to a new role.","P11 'I can make a gourmet meal in anybody's kitchen' and P13 'let me help you' present a fully-formed expert identity offering services, not someone experimenting with or becoming something new. The speaker positions themselves as already possessing the capability.","This is a founding story and capability narrative. The speaker explains how they identified a market gap (contextualizing data) and built a business around their existing expertise. It's origin story, not identity transition.","I looked for what was missing and what was missing was that companies could not figure out how to use the data they had. And I said, I can tell the greatest story. I can figure this out for you. || I saw that companies were deer in the headlights when they looked at all the data and worse, the people working in the companies didn't have any idea, didn't have the skills to do it. So I said, let me, let me help you. || my first startup was actually a database, you know, management startup back in the day.","The speaker constructs themselves as someone who already possessed insight and capability ('I can make a gourmet meal in anybody's kitchen'). They describe recognizing market needs and applying existing skills, not experimenting with new professional identities. The narrative arc is: government work → insight about data contextualization → applying that insight commercially. This is entrepreneurial opportunity recognition, not provisional self experimentation. The speaker wants to be seen as an expert who saw what others missed, not as someone who became something new.",IFF-001,B,Ibarra_1999,Cindy Greenglass,Female,13
absent,explicit_experimentation,both,institutional,becoming,"evaluate->experiment (reversed): dissatisfaction with existing models led to creating alternative, not observing then experimenting",0.85,0.9,0.8,0.7,observing: speaker explicitly rejected available role models ('white older male on stage...mundane and boring') rather than identifying with them. No named or generic role model is adopted.,"The speaker describes career moves as instrumental choices ('I wanted to have a broader look at business', 'I wanted things to move quickly') rather than identity transformation. P8 frames career as economic trade-off ('investing in my work') not identity work.","This could be a career progression narrative emphasizing strategic decisions and accomplishments (conference, book, CEO role) rather than identity development. The rhetoric builds credibility through achievements.","I found it greatly frustrating and disappointing because most of the events I was going to had a white older male on stage || I knew that I didn't see myself in the path of public practice for where I wanted my work to go || I was so tired of people saying, Oh, what are like, what's a great leader that we know? Who's a story of someone we should feature? Who's a female? || myself and this group of women started the organization || I led Young Women in Business for about eight years || took on the role of CEO of Forum for Women Entrepreneurs","Speaker presents a resume of accomplishments in women's leadership space but frames moves as pragmatic choices about pace and scope of work, not identity transformation. The absence of role models is presented as a problem to solve (creating visibility for women leaders) rather than a crisis requiring personal identity work. Rhetoric emphasizes action and building rather than becoming. The 'two babies, a few fun, really cool jobs' summary treats career as portfolio of projects.",IFF-002,B,Ibarra_1999,Paulina Cameron,Female,9
absent,explicit_experimentation,internal_standards,prior_professional,arrived,internal_evaluation->experiment->arrived; speaker describes a completed transition ('this was what I was doing for the rest of my life') rather than ongoing adaptation,0.85,0.9,0.8,0.95,observing: no role models named or described; speaker describes internal drive ('gut feeling') and institutional training (Royal Roads) but no observation of specific coaches or coaching identities to emulate,"The speaker describes a decisive moment of arrival ('the minute I walked in that classroom, I knew') rather than gradual identity construction through provisional trials. The rhetoric is of discovery/recognition rather than experimentation and adaptation. 'I was a problem solving addict' describes who they WERE, positioning coaching identity as transformation already completed.",This reads as an origin story and professional philosophy statement. The speaker is establishing credibility ('I was in leadership roles') and articulating their coaching approach ('listen to yourself'). It's pedagogical and promotional rather than reflective identity work.,"I went, how do I make a profession out of that? How do I help other people achieve things? || the minute I walked in that classroom, I knew. that this was what I was doing for the rest of my life || I was a problem solving addict. I wanted answers quick. I wanted to get the task done. Like that's who I was when I started coaching. || So for me, coaching flipped my world. Slow down, think through this, connect, listen. || Like with my friends sometimes I'm like, I wish y'all were coaches.","Speaker presents coaching identity as completed transformation, not provisional experimentation. Rhetoric emphasizes decisive recognition ('I knew') and contrast between former self ('problem solving addict') and current identity. The passages function as professional philosophy and implicit marketing—explaining what coaching is, why it matters, establishing authority. Identity work appears retrospective: narrating how they became a coach, not how they are becoming one. The 'listen to yourself' theme may be projecting their coaching methodology onto their own origin story.",IFF-003,B,Ibarra_1999,Sarah Planckaert,Female,7
insufficient_evidence,implied,external_feedback,peers_founders,becoming,"no clear observe phase; experimentation (launching business, hiring diverse staff, branding decisions) followed by evaluation (online hate, adjusting branding strategy)",0.1,0.6,0.7,0.5,"observing - no role models mentioned, no description of studying others in the role; experimenting shows only implied trials through business decisions rather than explicit identity experimentation",P7 'we have started branding more along the lines of like sustainability' and 'we want to focus on our work' suggests retreat from identity claims rather than elaboration. P4 'we've taken a step back from branding ourselves' directly contradicts a trajectory of identity consolidation.,"This reads primarily as a business origin story emphasizing values-driven entrepreneurship and operational pivots in response to market hostility, not identity work.","we decided that we wanted to take the jump and become business owners was also to have more decisions over the changes we wanted to see in our industry || we've gotten a lot more online hate, and the anti-queer rhetoric in Canada is getting really bad || we have started branding more along the lines of like sustainability, really high repairs || we want to focus on our work","Speaker describes business formation motivated by industry frustrations and desire for autonomy, not leadership identity. The arc moves from queer-branded business to de-emphasizing that identity due to external hostility. This is strategic repositioning, not provisional self experimentation. The speaker presents as craftsperson and business owner who happens to be queer, actively resisting 'queer business owner' as primary identity after negative feedback. Rhetoric emphasizes work quality and customer service over identity claims.",IFF-004,B,Ibarra_1999,Tess & Eris,Female,8
named_role_model,explicit_experimentation,both,prior_professional,becoming,"observe->experiment->evaluate pattern present, but speaker emphasizes early observation (P2-P3) leading to career choices, then professional experimentation (P4-P6), then current evaluation phase (P7-P10)",0.85,0.75,0.7,0.65,No evidence of resisting or rejecting a leadership identity. Limited evidence of specific experimental behaviors beyond career choices. The 'experimenting' is more implied through job selection than described as conscious trials.,P1 presents a resume recitation with no identity reflection. P5-P10 focus heavily on business model justification and operational decisions rather than self-concept. The speaker describes strategic choices ('I'm not trying to do the Uber model') but not how these choices shaped who they became. Most passages could be read as explaining business logic rather than identity work.,"These passages function primarily as origin story and business model justification. The speaker establishes credibility through credentials (P1), explains market opportunity (P5-P7), and defends strategic choices (P8-P10). Identity claims are concentrated in P2-P4, suggesting interview structure rather than spontaneous identity work.","I don't think I'd be an entrepreneur. I don't think I'd be supporting the businesses that I do today if I didn't make that decision way back when, when I was an undergrad, that this was a path I wanted to undertake because you didn't see people like me at the table. || My co-founder and I spent a year in research because we've both been in tech a long time. We've seen a lot of solutions made for problems that maybe not be as big as we think they are.","Speaker constructs a retrospective narrative linking early identity questions about representation (P2-P3) to current entrepreneurial role. However, most passages serve business justification rather than identity exploration. The 'becoming' trajectory is asserted ('this was a path I wanted to undertake') but not demonstrated through provisional self experimentation. Role models are named (female managers at LinkedIn) but their influence on identity formation is stated, not shown. The speaker wants to be seen as intentional, experienced, and different from typical tech founders—emphasizing research, safety, and trust over 'move fast and break things.'",IFF-005,B,Ibarra_1999,Azrah Manji-Savin,Female,10
insufficient_evidence,explicit_experimentation,both,prior_professional,becoming,"experiment->evaluate->experiment (iterative cycles, no clear observation phase)",0.2,0.85,0.9,0.65,observing - no role models named or described; speaker does not reference learning from others' examples,"P1 explicitly rejects a professional identity ('I'm not your typical accountant'), suggesting resistance to one path, but this is about what NOT to be rather than falsifying a transition. P2 describes feeling constrained ('I need to be more flexible') which could indicate dissatisfaction with corporate role rather than active identity construction.",This reads primarily as a product development narrative and company pivot story. The speaker emphasizes data-driven decision-making and business strategy rather than personal transformation or how they came to see themselves differently.,"I'm not your typical accountant || the more I worked in sort of a big corporation, the more I felt like I need to create something and I need to be more flexible || I started to go on, you know, to different, you know, entrepreneurship competition, startup events to get myself out there to be familiar with || pivot has been a part of a daily life || we didn't do the pivot out of the, out of like a feeling or out of the, I think we should do this, but when we have, whatever we have that, and it's open, open, open conversation with our team members","Speaker frames themselves through negation ('not your typical accountant') and describes experimentation with entrepreneurial activities (competitions, events, pivots). However, the narrative centers on business decisions and product strategy rather than identity work. The repeated emphasis on data-driven pivoting and team consultation suggests a managerial self-presentation. The advice-giving in P12 hints at claiming expertise, but overall this reads as company history rather than personal transformation. The 'becoming' trajectory is tentative—movement away from corporate finance is clear, but movement toward what identity remains implicit.",IFF-007,B,Ibarra_1999,Andre (MuseFind),Female,12
absent,explicit_experimentation,both,prior_professional,arrived,experiment->evaluate (iterative cycles); observing not evident,0.85,0.95,0.9,0.8,"observing: No role models named or described. Speaker describes learning through direct experience ('petri dish for human behavior', 'huge learning curve') but never references watching or modeling others.",P11 explicitly positions self AGAINST professional norms ('I'm not a classic product of the coaching profession'). P6 'I'm not good at being an employee' suggests resistance to organizational identity. These frame the speaker as outside standard professional trajectories rather than adapting into them.,"This reads as a resilience narrative—serial adaptation as character trait rather than identity transition. The retrospective sense-making (P9-P10) frames chaos as coherent, positioning the speaker as someone who thrives on change itself.",I do something until I didn't like it anymore and then I would change || every 18 to 18 months to two years. I wasn't even just changing jobs I was changing industries And nothing was ever really sticking || when I look back It's really interesting when you have sort of perspective in the rear-view mirror because everything that I did Contribute somehow to what I do today || I'm not a classic product of the coaching profession || I'm at a position in my business and my career where I get to choose,"Speaker constructs identity through serial experimentation without visible role models. Evaluation is retrospective—what 'looked like failure' becomes coherent at 40. The rhetorical work positions adaptability itself as the professional identity ('who I am today as a professional'), not any specific role. Wants to be seen as someone who succeeded by breaking rules, not following them. The 'arrived' status (P12: 'position...where I get to choose') claims authority through accumulated experience rather than professional socialization.",IFF-008,B,Ibarra_1999,Jennifer Griffiths-King,Female,12
generic_role_model,explicit_experimentation,both,peers_founders,becoming,experiment->evaluate->observe (reversed from canonical model; experimentation preceded sustained observation of startup community),0.65,0.75,0.7,0.6,No named role models. No specific mentor figures. Observing is limited to generic 'startup community' and 'people who are passionate about climate change' rather than identified individuals.,"Speaker frames joining startup as 'opportunity' and 'first startup experience' rather than identity choice. The move to Vancouver prioritized lifestyle ('closer to the mountains, be closer to the sea') not professional transformation. Sustainability engagement described as reactive ('exposed me') not agentive identity work.","This reads as geographic relocation narrative and company mission alignment story rather than leadership identity construction. Speaker emphasizes lifestyle choice, serendipity ('discovering Rainstick'), and community belonging over identity transformation.","I found myself making a bit of a personal decision to move from London to Vancouver. And that was very much based on what I decided to prioritize in my life at that time || get my first startup experience as well || there's also been a lot of lessons learned there where we have sometimes stretched ourselves too thin || since joining this startup and kind of being part of a startup community of those who are passionate about climate change, who are working on these technologies, it's exposed me to so much more people || being able to share the challenges of startup with that community has been so beneficial and so rewarding","Speaker constructs narrative of accidental entry into startup world through lifestyle migration. Identity work centers on community membership ('startup community', 'similar boat') rather than individual leadership. Experimentation language is organizational ('we've done so much', 'stretched ourselves too thin') not personal. Evaluation focuses on mission validation (sustainability impact) and peer support rather than self-assessment as leader. The 'becoming' trajectory is toward sustainability advocate/startup community member, not founder/leader identity. Rhetorically, this positions speaker as earnest participant discovering purpose through circumstance rather than strategic career architect.",IFF-009,B,Ibarra_1999,Claire,Female,5
named_role_model,explicit_experimentation,both,institutional,becoming,"observe->experiment->evaluate, though speaker describes retrospective dissatisfaction with the path taken",0.75,0.7,0.65,0.6,"No clear evidence of peer/founder role models. The observing is primarily institutional (professor, courses) rather than interpersonal modeling of identity.","P8-P9 explicitly state 'I really came in my security career the way that I didn't want' and 'I just had one [option] and I went with it' -- suggesting constrained choice rather than identity experimentation. The speaker frames their path as accidental ('just happened to me this way' P1) and driven by external factors (exam failure P3, money P2) rather than identity exploration.","This could be an immigrant success narrative emphasizing resourcefulness and adaptation rather than identity work. The cold-calling story (P7) frames professional development as skill acquisition, not self-discovery.","our professor said, oh, you know, guys, like, this is going to be the boom of your generation. And, you know, there's going to be a lot of money. And then I'm like, ding, ding, ding, ding, ding, money, money, money. || I really came in my security career the way that I didn't want. And I wouldn't want for anybody I'm mentoring. || I did cold calls when I just came to Canada and to find mentors and to do information interviews","Speaker presents their career entry as constrained and accidental rather than as deliberate identity work. The retrospective framing ('I didn't want,' 'just happened') undermines a becoming narrative. They describe observing (professor as role model), experimenting (courses, cold calls), and evaluating (mentoring others differently), but explicitly reject this as a model path. The rhetorical work here is establishing credibility through hardship overcome, positioning themselves as a guide who learned what NOT to do. Identity appears imposed by circumstance (exam failure, limited options, immigration) rather than constructed through provisional selves.",IFF-010,B,Ibarra_1999,Adele Farhadian,Female,9
insufficient_evidence,implied,both,prior_professional,arrived,no clear observe->experiment->evaluate sequence; speaker presents retrospective sense-making of accumulated experiences rather than provisional identity trials,0.2,0.4,0.6,0.7,observing: no named or generic role models mentioned; no description of studying how others performed roles,"P3 'I didn't realize at the time that I was such a project manager' and P4 'someone said, you know, you're like the ultimate consultant' suggest identity was ASSIGNED by others retrospectively, not experimentally constructed. P12 'I just go after business. I don't think gender' contradicts later gender-conscious framing in P11, P13-17. The narrative arc moves from 'arrived identity' (P3-4) to 'obstacles' (P13-17) rather than from experimentation to consolidation.","This is origin story rhetoric and obstacle-overcoming narrative. The age-four anecdote (P1) establishes entrepreneurial essence. The cybersecurity pivot (P6-7) is presented as natural extension, not identity transition. Discrimination passages (P13-17) frame external barriers, not internal identity work.","I knew at the age of four I wanted to get into business || I didn't realize at the time that I was such a project manager || someone said, you know, you're like the ultimate consultant and trainer || I just go after business. I don't think gender. I don't think race or ethnicity or culture || I was reminded, you are a woman in business || My personal branding is really based on my approach and styles and the way that I care","Speaker constructs a retrospective narrative of essential entrepreneurial identity ('knew at age four') rather than provisional experimentation. Identity labels (project manager, consultant) are described as discovered or assigned by others, not tried on. The discrimination narrative (P13-17) describes strategic adaptation (removing photo) but frames this as obstacle management, not identity revision. Rhetorical work emphasizes continuity ('every single thing...has proven to serve me') and passion as stable core, positioning speaker as educator-entrepreneur who arrived at rather than experimented toward current role.",IFF-011,B,Ibarra_1999,Muse Greenwood,Female,18
