sensitivity,intelligence,dedication,dynamism,tyranny,masculinity,dominant_dimension,confidence_sensitivity,confidence_intelligence,confidence_dedication,confidence_dynamism,negative_evidence,falsifying_evidence,rival_explanation,evidence_quotes,memo,transcript_id,framework,framework_name,guest_name,gender,n_passages_seen
illustrated,central,mentioned,illustrated,absent,absent,intelligence,0.65,0.85,0.5,0.7,"Tyranny and masculinity receive no support. Dedication is implied through career progression but never explicitly claimed as a personal quality. No passages describe sustained effort, sacrifice, or commitment as identity-defining.",The speaker consistently positions themselves as the person who 'figured it out' and could 'make sense' of what others couldn't. This could read as intellectual superiority rather than collaborative intelligence. The 'gourmet meal in anybody's kitchen' metaphor emphasizes individual capability over team-based problem-solving.,"These passages follow a classic entrepreneurial origin story structure: identified market gap, developed unique capability, scaled solution. This is company narrative and business case construction, not necessarily identity work about leadership qualities.","what they really needed was somebody to help them figure out how to use it || think about the power. If you could unlock the raw data and turn it into a story || I saw that companies were deer in the headlights when they looked at all the data || I can make a gourmet meal in anybody's kitchen || You got to find doubting Thomas, the person who's going to tear down your data || I looked for what was missing and what was missing was that companies could not figure out how to use the data they had","Speaker constructs themselves as the uniquely insightful translator between technical complexity and business utility. Intelligence is performed through pattern recognition ('what was missing'), sense-making ('contextualize'), and pedagogical capability ('teach somebody'). Sensitivity appears in understanding user needs and anticipating resistance ('doubting Thomas'). Dynamism shows in opportunity-spotting and market gap identification. The rhetorical work centers on cognitive superiority—being the one who 'got it' when others were 'deer in the headlights.' This is less about collaborative leadership than about positioning as the indispensable expert who makes complexity legible.",IFF-001,C,Epitropaki_Martin_2004,Cindy Greenglass,Female,13
illustrated,mentioned,central,central,absent,absent,dedication,0.65,0.45,0.85,0.8,"Intelligence is mentioned only as a childhood aptitude ('good at math'), not as a leadership quality. Tyranny and masculinity are entirely absent. Sensitivity appears primarily through the founding story of Young Women in Business, but is not developed as a self-characteristic.","The speaker describes career moves as personal preference ('I wanted') rather than organizational need or follower-centered reasoning. The book project is framed as correcting others' ignorance, not as empathetic engagement. Multiple role accumulations (two babies, startup, book, CEO role) emphasize personal capacity over collaborative leadership.","This reads as a career chronology structured by interview convention: education, early roles, organizational founding, promotions, current position. The narrative arc is professional advancement, not identity construction.","I was very interested in some of the community involvement and leadership || And so myself and this group of women started the organization || So I led Young Women in Business for about eight years || I wanted to have a broader look at business. I wanted to be learning by doing a little bit more quickly || And I was really interested in entrepreneurship innovation and had a really deep passion for women and leadership || took on the role of CEO of Forum for Women Entrepreneurs, which is where I am now || I also ran a food delivery startup with my husband for a four month summer pilot. And I wrote a best selling book || two babies, a few fun, really cool jobs later || right now we are investing in my work and my career and growth","The speaker constructs herself through relentless accumulation: founding an organization, leading it for eight years, multiple career transitions, writing a bestselling book, running a startup, having two children, becoming CEO while pregnant. Dedication and dynamism are demonstrated through sheer volume of simultaneous commitments. The Young Women in Business origin story provides the only moment of sensitivity (responding to frustration with male-dominated events), but this quickly becomes organizational achievement. The rhetoric is 'I wanted, I did, I led'—a catalog of initiative and execution rather than relational leadership qualities.",IFF-002,C,Epitropaki_Martin_2004,Paulina Cameron,Female,9
central,mentioned,illustrated,mentioned,absent,absent,sensitivity,0.95,0.65,0.8,0.6,"Tyranny and masculinity receive no invocation. Dynamism is implied in career transition but not developed. Intelligence appears only in problem-solving reference, not as organizing self-concept.",P4 describes former self as 'problem solving addict' wanting 'answers quick' and 'task done'—a rejection of efficiency-orientation that could contradict dynamism. The transformation narrative positions current identity against that earlier mode.,This could be professional origin story—a genre convention in coaching where practitioners narrate their calling and methodology. The repeated 'I loved it' and classroom epiphany follow conversion narrative templates.,"I loved seeing other people succeed. I just loved it. || we talk about places where they're stuck. Where are they challenged in leading their team? || Slow down, think through this, connect, listen. || you listen so well. Wow, you really acknowledged me there. || Inside of you is an answer that's unique to you.","Speaker constructs identity through relational orientation and listening capacity. Sensitivity is the organizing principle: helping others succeed, being present to what's stuck, asking good questions, acknowledging others. The transformation from 'problem solving addict' to reflective coach positions sensitivity as learned achievement. Dedication appears in career pivot and classroom commitment. Intelligence and dynamism remain background—implied but not foregrounded. This is professional self-presentation as facilitator rather than director, organized around attunement to others' needs and inner voices.",IFF-003,C,Epitropaki_Martin_2004,Sarah Planckaert,Female,7
illustrated,mentioned,illustrated,mentioned,absent,absent,sensitivity,0.85,0.65,0.75,0.6,Tyranny and masculinity receive no support. Dynamism is weakly evidenced—'gusto' is mentioned but not developed. Intelligence appears through problem-solving references but lacks concrete illustration.,"The speaker explicitly retreated from visible queer branding due to safety concerns (P4, P7), which contradicts a dynamism-centered self-presentation that would emphasize bold action. The emphasis on customer guidance (P8) and collaborative learning (P5) contradicts any tyrannical or directive leadership style.","These passages could be strategic business narrative—explaining market positioning, diversity hiring practices, and brand evolution to justify business decisions rather than constructing a leadership identity. The focus on 'we' throughout suggests company story over personal identity work.","we wanted to take the jump and become business owners was also to have more decisions over the changes we wanted to see in our industry and the services that we wanted to see offered to our immediate community || we also wanted to see those positions being opened up to our staff || We hire a lot of really creative people, people who've gone through fashion school or arts programs in different ways who end up working with leather because it's this really interesting textile and their creativity, the way that they can help us figure things out is invaluable || when you walk into our store, we're going to go through every single step with you to make sure that what you're getting is exactly what you expect || we have started branding more along the lines of like sustainability, really high repairs || I think when businesses are making decisions and how to brand themselves and what to put out there and advertise, you have to consider what is safe for yourself and your staff","The speaker constructs themselves through attention to others—staff development, customer care, community service, safety considerations. Sensitivity dominates: opening opportunities to marginalized workers, learning from staff creativity, guiding customers through processes, protecting employees from online hate. Dedication appears through the pandemic-to-expansion trajectory and commitment to industry change. Intelligence surfaces in problem-solving and strategic brand pivoting, but isn't foregrounded. Dynamism ('gusto') is mentioned once but contradicted by the retreat from queer branding. The consistent 'we' framing makes this more partnership narrative than individual identity work. The speaker wants to be seen as thoughtful, inclusive, responsive—not bold or visionary.",IFF-004,C,Epitropaki_Martin_2004,Tess & Eris,Female,8
illustrated,illustrated,central,illustrated,absent,absent,dedication,0.75,0.7,0.85,0.65,"Tyranny and masculinity receive no invocation. Dynamism is present but not foregrounded—the speaker emphasizes deliberate, careful choices over speed or charisma.","P8 explicitly rejects 'move fast and break things'—the quintessential dynamism narrative of tech entrepreneurship. The speaker positions herself against that prototype, favoring caution and compliance over disruption.","These passages follow standard founder interview conventions: origin story, problem identification, differentiation claims. The identity work may be secondary to establishing company legitimacy and market positioning.","when I was in school and looking at the world around me, it wasn't that long after 9-11 when I was really trying to figure out my career, what does it mean to be a woman in not just our society, but a woman of color? What does it mean to be a visible minority? Who wants to be in leadership? || if I want to make significant impact, I have to learn what these industries are like. I have to learn how to be able to speak the language and educate myself so I can make real long-lasting impact and change. || My co-founder and I spent a year in research because we've both been in tech a long time. We've seen a lot of solutions made for problems that maybe not be as big as we think they are. So we wanted to really be sure. || I'm not trying to do the Uber model of move fast and break things and be crazy with... This is food poisoning, right? To your point. This is in-house and safety. || We make money when our customers do. We take transaction fees. And what that does is that builds trust in an industry that has very little trust.","The speaker constructs herself through sustained commitment to learning and impact rather than entrepreneurial heroics. Dedication organizes the narrative: year-long research, deliberate industry education, careful regulatory compliance, aligned incentives. Sensitivity appears through trust-building and community awareness (immigrant food economies). Intelligence shows in strategic learning across industries and IP protection reasoning. She explicitly rejects dynamism-as-disruption, positioning herself as methodical and responsible. The rhetorical project is establishing credibility through thoroughness and stakeholder alignment, not visionary boldness. Identity emerges through contrast with typical tech founder archetypes.",IFF-005,C,Epitropaki_Martin_2004,Azrah Manji-Savin,Female,10
illustrated,central,illustrated,mentioned,absent,absent,intelligence,0.65,0.85,0.7,0.55,Tyranny and masculinity receive no invocation. Dynamism is implied through pivoting activity but not explicitly claimed as a self-characteristic. The passages focus heavily on analytical process rather than interpersonal leadership qualities.,"The speaker repeatedly frames decisions as team-based ('open conversation with our team members,' 'entire team supported it') rather than individual directive action. This contradicts a tyrannical or strongly individualistic prototype. The emphasis on data-driven decision-making over intuition or charisma also works against a dynamism-centered self-presentation.","These passages read primarily as startup narrative convention—the pivot story, the incubator journey, the customer discovery process. They follow entrepreneurial storytelling templates rather than explicit identity claims. The speaker may be recounting company history more than constructing a leadership self.","I'm not your typical accountant || we didn't do the pivot out of the, out of like a feeling or out of the, I think we should do this, but when we have, whatever we have that, and it's open, open, open conversation with our team members || what are the data that we need to collect in order to make that decision || we went out there and interviewed about a hundred Shopify and Etsy customers || we are very sure that based on our data, that that's the direction that we go || at some point in time, you need to be able to say no","The speaker constructs themselves as an analytical, non-conventional thinker who makes decisions through systematic data collection rather than intuition. Intelligence is central—emphasized through customer interviews (n=100), data requirements, and filtering methodology. Sensitivity appears through team consultation and concern for influencer disappointment. Dedication shows in the progression from part-time to full commitment. However, the rhetoric is primarily company-story rather than self-characterization. The speaker wants to be seen as methodical, evidence-based, and collaborative—a 'smart' founder who learns systematically.",IFF-007,C,Epitropaki_Martin_2004,Andre (MuseFind),Female,12
illustrated,central,illustrated,central,absent,absent,dynamism,0.65,0.8,0.7,0.9,Tyranny and masculinity receive no invocation. Sensitivity is present but subordinate to adaptability and directness.,P7 'I got mad at them' and P12 'I'm often the one calling them out' suggest confrontational directness that could contradict sensitivity prototype. The repeated emphasis on 'not being good at being an employee' (P6) and choosing clients (P12) suggests autonomy over collaboration.,This could be standard entrepreneurial origin story: early chaos → pattern recognition → market positioning. The 'adaptability' frame may be retrospective sense-making rather than real-time identity work.,"it instilled a certain level of adaptability ease with change resilience that that is definitely part of who I am today as a professional || I get bored very easily || I'm not good at being an employee || what's your problem was basically my answer and they ended up surprisingly hiring me after I got mad at them || it's that adaptability and being able to go in and just kind of figure it out really quickly || part of my job, especially at the senior leadership level is to tell the truth I'm often the one coming in and seeing things. I'm often the one that's calling them out","Speaker constructs identity around restless adaptability and pattern-breaking. Dynamism dominates: constant movement, risk-taking, reinvention. Intelligence shown through retrospective synthesis—seeing how chaos became expertise. Dedication illustrated through financial sacrifice and persistence through apparent failure. Sensitivity present in coaching role ('tell the truth') but framed as tough love, not empathy. Wants to be seen as unconventional expert who earned authority through breadth rather than depth, who can 'figure it out' in any context. The 'not fitting in' becomes the credential.",IFF-008,C,Epitropaki_Martin_2004,Jennifer Griffiths-King,Female,12
illustrated,mentioned,illustrated,mentioned,absent,absent,dedication,0.75,0.45,0.85,0.5,No evidence for tyranny or masculinity dimensions. Intelligence is implied through consulting background but not developed as self-presentation. Dynamism mentioned through 'agile and nimble' but attributed to startup context rather than personal trait.,"The speaker frames their career move as prioritizing personal lifestyle ('closer to the mountains, be closer to the sea') over professional advancement, which could contradict traditional dynamism/ambition narratives. They describe 'stretching ourselves too thin' and needing to 'draw back' - acknowledging limits rather than projecting boundless energy.",This reads primarily as startup origin story and mission alignment narrative. The speaker positions themselves within a community rather than as an individual leader. Could be conventional interview framing about career transitions and company values.,"that was very much based on what I decided to prioritize in my life at that time, which was being able to be closer to the mountains, be closer to the sea || you are really plugging away at these technologies that maybe the mass market won't ever hear about, but that is doing real good || that has made me, given me so much more drive, but also being able to share the challenges of startup with that community has been so beneficial and so rewarding || we have sometimes stretched ourselves too thin, had to draw back and say, okay, what is our core focus? || I'm very, very grateful to have had the opportunity to work with this company","Speaker constructs identity through commitment to mission and community rather than individual achievement. Dedication shown through sustained engagement with climate technology despite limited recognition ('mass market won't ever hear about'). Sensitivity emerges in attention to personal values alignment and community connection. Notably absent: claims of personal leadership, strategic vision, or individual impact. The rhetoric emphasizes collective effort ('we'), learning, and gratitude. Self-presentation is as committed team member within a movement, not as leader or visionary.",IFF-009,C,Epitropaki_Martin_2004,Claire,Female,5
illustrated,mentioned,illustrated,mentioned,absent,absent,sensitivity,0.75,0.5,0.7,0.45,"No evidence for tyranny or masculinity dimensions. Dynamism is weakly supported—speaker describes reactive rather than proactive career moves. Intelligence is mentioned through problem-solving (research, cold calls) but not foregrounded as identity.","Speaker explicitly frames their career path as accidental and suboptimal ('I really came in my security career the way that I didn't want'). This contradicts strategic dynamism. The 'ding, ding, ding, money' framing is self-deprecating rather than achievement-oriented, undercutting dedication as central identity.","This reads as immigrant career narrative—emphasizing resourcefulness under constraint, learning from mistakes, paying it forward. The mentoring frame may be interview convention rather than core self-concept.","I did cold calls when I just came to Canada and to find mentors and to do information interviews and, and oh my God, it just like opened up a lot of stuff for me that as an immigrant, I had no idea about. || I really came in my security career the way that I didn't want. And I wouldn't want for anybody I'm mentoring. So not that I want, I wouldn't want it for anybody like, but, but if I would understand that person the way I wanted somebody to understand me || be very, very clear about like where you want to go, because at least in my industry, there were many, many ways I could go with this. And I just found one thing and I trusted and I went with it. || I researched a little bit and I came up with these courses that were done in and you a Emirates United Emirates and Because Iran was like a little bit, you know, like like we didn't have so many courses || I did like mock cold interviews with friends and, you know, just to get over this fear of, you know, oh my God, I'm taking like this guru's time, whatever.","Speaker constructs identity through empathetic mentoring stance—what they wish someone had done for them. Sensitivity emerges through understanding others' confusion and constraint ('I would understand that person the way I wanted somebody to understand me'). Dedication shown through resourceful navigation of limited options (UAE course, cold calls, mock interviews). But the framing is consistently humble and accidental ('I just found one thing and I trusted'), not heroic. This is relational leadership identity—defined by helping others avoid one's own mistakes—rather than prototypical achievement narrative.",IFF-010,C,Epitropaki_Martin_2004,Adele Farhadian,Female,9
central,illustrated,central,illustrated,absent,absent,sensitivity,0.85,0.7,0.8,0.65,Tyranny and masculinity are not invoked. The passages provide minimal evidence of competitive drive or assertiveness that might signal traditional dynamism.,"P11 explicitly contrasts her approach with 'masculine' energy ('the con the part that takes buys, gets, gets, gets'), positioning herself against that prototype. P12 states 'I don't think gender' when doing business, yet the surrounding passages show gender became salient through discrimination experiences.","These passages follow a common entrepreneurial interview convention: origin story, obstacle narrative, lesson extraction. The sensitivity framing may be strategic positioning for a cybersecurity education product rather than core identity.","I love seeing people succeed || I take the complex and I bring it to the everyday person || I wanted to make sure everybody had their gloves and hat on || the way that I care || I focus on content, I focus on content, I focus on content || every single thing, even from the age of four, has proven to serve me","Speaker constructs identity around care, translation, and nurturing—explicitly invoking 'feminine energy' and positioning against 'masculine' business approaches. Sensitivity is the organizing frame: making complex accessible, ensuring people are protected, seeing others succeed. Intelligence shown through pattern recognition ('connect the dots') and strategic pivots (removing photo). Dedication demonstrated through persistence against discrimination and continuous skill acquisition. Dynamism is muted—passion mentioned but not enacted dramatically. The rhetorical project is positioning cybersecurity expertise as care work, not technical mastery. Wants to be seen as educator-nurturer who perseveres through obstacles via content quality and relational commitment.",IFF-011,C,Epitropaki_Martin_2004,Muse Greenwood,Female,18
